Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
Living Reviews in Relativity,"2,038",32.000,0.007360
Living Reviews in Solar Physics,926,19.333,0.004720
Lancet Global Health,"1,379",14.722,0.008420
Lancet Global Health,"1,379",14.722,0.008420
STUDIES IN MYCOLOGY,"1,932",13.889,0.003560
Light-Science & Applications,"1,724",13.600,0.007660
PLOS MEDICINE,"20,499",13.585,0.061900
Nature Communications,"75,139",11.329,0.476840
GENOME BIOLOGY,"25,081",11.313,0.086660
Molecular Systems Biology,"7,682",10.581,0.036220
EMBO Molecular Medicine,"4,471",9.547,0.023190
NUCLEIC ACIDS RESEARCH,"143,465",9.202,0.363840
Chemical Science,"20,983",9.144,0.088930
Microbiome,698,9.000,0.004120
Theranostics,"2,813",8.854,0.009590
NPG Asia Materials,"1,806",8.772,0.007650
Physical Review X,"4,168",8.701,0.033010
PLOS BIOLOGY,"25,871",8.668,0.079360
Particle and Fibre Toxicology,"3,245",8.649,0.009140
ENVIRONMENTAL HEALTH PERSPECTIVES,"34,909",8.443,0.053550
Earth System Science Data,703,8.286,0.005460
eLife,"7,951",8.282,0.068430
BMC Medicine,"7,331",8.005,0.031150
Journal of Cachexia Sarcopenia and Muscle,901,7.883,0.003030
Cell Reports,"12,553",7.870,0.102160
GigaScience,636,7.463,0.004310
Conservation Letters,"2,229",7.126,0.010170
Stem Cell Reports,"1,806",7.023,0.011730
PLoS Pathogens,"33,136",7.003,0.142700
EMERGING INFECTIOUS DISEASES,"25,266",6.994,0.062280
mBio,"7,076",6.975,0.039550
BMC BIOLOGY,"3,908",6.967,0.016040
HAEMATOLOGICA,"14,110",6.671,0.041750
PLoS Genetics,"35,832",6.661,0.191270
Molecular Neurodegeneration,"2,312",6.510,0.009330
Biotechnology for Biofuels,"4,521",6.444,0.015360
Journal of Advances in Modeling Earth Systems,"1,297",6.417,0.008820
Journal of Hematology & Oncology,"2,188",6.263,0.006790
Journal of the International AIDS Society,"2,080",6.256,0.011290
Redox Biology,"1,507",6.235,0.005370
JOURNAL OF HIGH ENERGY PHYSICS,"71,007",6.023,0.171780
Advanced Science,255,6.000,0.000210
Eurosurveillance,"6,729",5.983,0.026090
Molecular Cancer,"8,038",5.888,0.021960
Genome Medicine,"2,048",5.846,0.010960
AGING CELL,"6,101",5.760,0.020820
JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE,"3,592",5.752,0.011980
ALTEX-Alternatives to Animal Experimentation,964,5.712,0.001880
Frontiers in Immunology,"8,542",5.695,0.040300
Earths Future,304,5.620,0.002780
Translational Psychiatry,"2,862",5.538,0.013750
Cell Death & Disease,"8,527",5.378,0.035690
Molecular Metabolism,836,5.363,0.004440
IUCrJ,442,5.316,0.002090
DNA RESEARCH,"2,601",5.267,0.004530
Scientific Reports,"46,918",5.228,0.208940
Frontiers in Cellular and Infection Microbiology,"2,187",5.218,0.010420
BREAST CANCER RESEARCH,"9,664",5.211,0.026970
Optica,676,5.205,0.003070
Alzheimers Research & Therapy,"1,164",5.197,0.005370
Frontiers in Molecular Neuroscience,"1,592",5.154,0.007820
Journal of the American Heart Association,"3,580",5.117,0.019890
ATMOSPHERIC CHEMISTRY AND PHYSICS,"34,330",5.114,0.098180
Molecular Therapy-Nucleic Acids,"1,057",5.048,0.004810
Oncogenesis,586,5.021,0.002930
Molecular Autism,847,4.961,0.004500
CRITICAL CARE,"16,428",4.950,0.045790
JOURNAL OF CELLULAR AND MOLECULAR MEDICINE,"9,305",4.938,0.019960
EUROPEAN PHYSICAL JOURNAL C,"14,691",4.912,0.047730
Cryosphere,"3,126",4.906,0.018920
Epigenetics & Chromatin,736,4.873,0.004490
Open Biology,"1,098",4.822,0.007480
PHYSICS LETTERS B,"59,456",4.787,0.095490
Journal of Neuroinflammation,"6,293",4.667,0.020510
CELLULAR PHYSIOLOGY AND BIOCHEMISTRY,"6,152",4.652,0.012220
Frontiers in Cellular Neuroscience,"3,841",4.609,0.016240
Earth System Dynamics,365,4.589,0.002490
PLoS Computational Biology,"18,434",4.587,0.085170
Evolutionary Applications,"2,226",4.572,0.010580
EUROPEAN CELLS & MATERIALS,"2,798",4.560,0.006760
Cardiovascular Diabetology,"3,474",4.534,0.009510
JOURNAL OF MEDICAL INTERNET RESEARCH,"6,611",4.532,0.020150
Annals of Intensive Care,856,4.529,0.004530
NEOPLASIA,"6,428",4.509,0.012600
Stem Cell Research & Therapy,"1,970",4.504,0.006790
Frontiers in Plant Science,"7,408",4.495,0.029820
Oxidative Medicine and Cellular Longevity,"3,644",4.492,0.011250
Frontiers in Pharmacology,"3,083",4.418,0.012910
